xpos,error
2.06,0.02492522433
2.08,0.02429543246
2.07,0.02460629921
2.09,0.02399232246
2.1,0.02369668246
2.11,0.0234082397
2.12,0.02312673451
2.13,0.02285191956
2.14,0.02258355917
2.15,0.02232142857
2.16,0.02206531333
2.17,0.02181500873
2.18,0.02157031924
2.19,0.02133105802
2.2,0.02109704641
2.21,0.02086811352
2.22,0.02064409579
2.23,0.0204248366
2.24,0.02021018593
2.25,0.02
2.26,0.01979414093
2.27,0.01959247649
2.28,0.01939487975
2.29,0.01920122888
2.3,0.01901140684
2.31,0.0188253012
2.32,0.01864280388
2.33,0.01846381093
2.34,0.01828822238
2.35,0.01811594203
2.36,0.01794687724
2.38,0.01761804087
2.37,0.01778093883
2.39,0.01745810056
2.4,0.01730103806
2.41,0.01714677641
2.42,0.01699524133
2.43,0.01684636119
2.44,0.0167000668
2.45,0.01655629139
2.46,0.01641497045
2.47,0.01627604167
2.48,0.0161394448
2.49,0.01600512164
2.5,0.01587301587
2.51,0.01574307305
2.52,0.01561524047
2.53,0.01548946716
2.54,0.01536570375
2.55,0.01524390244
2.56,0.01512401694
2.57,0.0150060024
2.58,0.01488981537
2.59,0.01477541371
2.6,0.0146627566
2.61,0.01454757056
2.62,0.01443418014
2.63,0.01432254368
2.64,0.01421262081
2.65,0.01410437236
2.66,0.01399776036
2.67,0.01389274799
2.68,0.0137892995
2.69,0.01368738024
2.7,0.01358695652
2.71,0.01348435814
2.72,0.01338329764
2.73,0.0132837407
2.74,0.01318565401
2.75,0.01308900524
2.76,0.01299376299
2.77,0.0128998968
2.78,0.01280737705
2.79,0.01271617497
2.8,0.01262626263
2.81,0.01253446979
2.83,0.01235483074
2.82,0.01244400199
2.84,0.01226692836
2.85,0.01218026797
2.86,0.01209482342
2.87,0.0120105693
2.88,0.01192748092
2.89,0.01184553423
2.9,0.01176470588
2.91,0.01168224299
2.93,0.01152073733
2.92,0.01160092807
2.94,0.0114416476
2.95,0.01136363636
2.96,0.01128668172
2.97,0.01121076233
2.98,0.01113585746
2.99,0.0110619469
3,0.01098901099
3.01,0.01091464746
3.02,0.01084128361
3.03,0.01076889942
3.04,0.0106974754
3.05,0.01062699256
3.06,0.01055743243
3.07,0.01048877701
3.08,0.01042100875
3.09,0.01035411058
3.1,0.01028806584
3.11,0.01022285831
3.12,0.01015847217
3.13,0.01009489198
3.14,0.01003210273
3.15,0.009970089731
3.16,0.009908838684
3.17,0.009848335631
3.18,0.009788566954
3.19,0.009729519362
3.2,0.009671179884
3.22,0.009556574924
3.21,0.009613535858
3.23,0.009500285009
3.24,0.009444654326
3.25,0.009389671362
3.26,0.009335324869
3.27,0.009281603861
3.28,0.009228497601
3.29,0.009175995596
3.3,0.009124087591
3.31,0.009072763564
3.32,0.009022013713
3.33,0.008971828459
3.34,0.00892219843
3.35,0.008873114463
3.36,0.008824567596
3.37,0.008776549061
3.38,0.008729050279
3.39,0.008682062858
3.4,0.008635578584
3.41,0.008589589418
3.42,0.008544087491
3.44,0.008454514711
3.43,0.008499065103
3.45,0.008410428932
3.46,0.008366800535
3.47,0.00832362244
3.48,0.008280887711
3.49,0.008238589553
3.5,0.008196721311
3.52,0.008114248621
3.51,0.008155276464
3.53,0.008073631519
3.54,0.008033419023
3.55,0.007993605116
3.56,0.007954183901
3.57,0.007915149596
3.58,0.007876496534
3.59,0.007838219157
3.6,0.007800312012
3.61,0.007761564731
3.62,0.007723200494
3.63,0.007685213649
3.64,0.007647598654
3.65,0.007610350076
3.66,0.007573462587
3.67,0.007536930962
3.68,0.007500750075
3.69,0.0074649149
3.7,0.007429420505
3.71,0.007393168712
3.72,0.007357268982
3.73,0.00732171621
3.74,0.007286505392
3.75,0.007251631617
3.76,0.007217090069
3.77,0.007182876024
3.78,0.007148984844
3.8,0.007082152975
3.79,0.007115411982
3.81,0.007048209755
3.82,0.007014590348
3.83,0.006981290142
3.84,0.006948304614
3.85,0.006915629322
3.86,0.006883259912
3.87,0.006851192107
3.88,0.006819421713
3.89,0.00678794461
3.9,0.006756756757
3.91,0.006724949563
3.92,0.006693440428
3.94,0.006631299735
3.93,0.006662225183
3.95,0.006600660066
3.96,0.006570302234
3.98,0.006510416667
3.97,0.006540222368
3.99,0.0064808814
